,TrialNum,Subject,CorResp,accuracy,Resp,RT,Diapo,Age_year,Gender,paper_number
222,583,1010,Image5,0.0,Image6,9382.0,22,23,female,35
223,584,1010,Image1,1.0,Image1,9893.0,35,23,female,43
224,585,1010,Image1,1.0,Image1,1547.0,4,23,female,3
225,586,1011,Image4,1.0,Image4,4394.0,44,18,male,30
226,587,1011,Image2,1.0,Image2,1822.0,17,18,male,22
227,588,1011,Image6,1.0,Image6,10568.0,16,18,male,31
229,590,1011,Image6,1.0,Image6,6626.0,32,18,male,44
230,591,1011,Image6,1.0,Image6,5018.0,14,18,male,13
231,592,1011,Image3,1.0,Image3,3697.0,26,18,male,16
232,593,1011,Image6,1.0,Image6,5140.0,38,18,male,29
233,594,1011,Image5,1.0,Image5,5062.0,8,18,male,8
234,595,1011,Image3,1.0,Image3,3119.0,42,18,male,28
235,596,1011,Image3,1.0,Image3,7517.0,45,18,male,33
236,597,1011,Image1,1.0,Image1,2599.0,4,18,male,3
237,598,1011,Image2,1.0,Image2,3622.0,41,18,male,27
238,599,1011,Image3,1.0,Image3,5518.0,20,18,male,20
239,600,1011,Image3,1.0,Image3,5820.0,28,18,male,24
240,601,1011,Image3,1.0,Image3,2187.0,24,18,male,18
241,602,1011,Image2,1.0,Image2,6699.0,25,18,male,17
242,603,1011,Image1,0.0,Image5,15390.0,19,18,male,36
243,604,1011,Image4,1.0,Image4,3134.0,23,18,male,19
244,605,1011,Image5,1.0,Image5,3545.0,40,18,male,12
245,606,1011,Image1,1.0,Image1,7260.0,12,18,male,15
246,607,1011,Image5,1.0,Image5,5760.0,30,18,male,26
249,610,1011,Image4,1.0,Image4,4510.0,3,18,male,6
250,611,1011,Image6,1.0,Image6,4401.0,43,18,male,32
251,612,1011,Image2,1.0,Image2,2023.0,10,18,male,7
252,613,1011,Image3,1.0,Image3,3033.0,37,18,male,11
253,614,1011,Image5,1.0,Image5,8563.0,13,18,male,21
254,615,1011,Image1,1.0,Image1,7139.0,35,18,male,43
255,616,1011,Image5,1.0,Image5,3271.0,15,18,male,14
256,617,1011,Image5,1.0,Image5,3104.0,9,18,male,23
257,618,1011,Image6,1.0,Image6,5976.0,36,18,male,39
258,619,1011,Image4,1.0,Image4,6234.0,27,18,male,42
259,620,1011,Image4,1.0,Image4,5478.0,7,18,male,9
260,621,1011,Image5,1.0,Image5,3896.0,6,18,male,5
261,622,1011,Image1,1.0,Image1,4608.0,18,18,male,34
262,623,1011,Image4,0.0,Image5,10587.0,21,18,male,37
263,624,1011,Image1,1.0,Image1,5440.0,11,18,male,10
264,625,1011,Image2,1.0,Image2,3434.0,33,18,male,41
265,626,1011,Image6,1.0,Image6,8297.0,29,18,male,25
266,627,1011,Image2,1.0,Image2,2473.0,5,18,male,4
