Subject CorResp Acc Resp RT Diapo Age_year Gender
601 1011 Image3 1 Image3 2187 24 18 male
602 1011 Image2 1 Image2 6699 25 18 male
603 1011 Image1 0 Image5 15390 19 18 male
604 1011 Image4 1 Image4 3134 23 18 male
605 1011 Image5 1 Image5 3545 40 18 male
606 1011 Image1 1 Image1 7260 12 18 male
607 1011 Image5 1 Image5 5760 30 18 male
608 1011 Image4 1 Image4 5109 1 18 male
609 1011 Image3 1 Image3 4005 2 18 male
610 1011 Image4 1 Image4 4510 3 18 male
611 1011 Image6 1 Image6 4401 43 18 male
612 1011 Image2 1 Image2 2023 10 18 male
613 1011 Image3 1 Image3 3033 37 18 male
614 1011 Image5 1 Image5 8563 13 18 male
615 1011 Image1 1 Image1 7139 35 18 male
616 1011 Image5 1 Image5 3271 15 18 male
617 1011 Image5 1 Image5 3104 9 18 male
618 1011 Image6 1 Image6 5976 36 18 male
619 1011 Image4 1 Image4 6234 27 18 male
620 1011 Image4 1 Image4 5478 7 18 male
621 1011 Image5 1 Image5 3896 6 18 male
622 1011 Image1 1 Image1 4608 18 18 male
623 1011 Image4 0 Image5 10587 21 18 male
624 1011 Image1 1 Image1 5440 11 18 male
625 1011 Image2 1 Image2 3434 33 18 male
626 1011 Image6 1 Image6 8297 29 18 male
627 1011 Image2 1 Image2 2473 5 18 male
628 1011 Image5 0 Image3 11196 22 18 male
629 1011 Image1 0 Image3 13510 39 18 male
630 1011 Image2 1 Image2 10700 31 18 male
631 1012 Image4 1 Image4 5840 1 21 female
632 1012 Image3 1 Image3 2055 2 21 female
633 1012 Image5 1 Image5 3087 30 21 female
634 1012 Image6 1 Image6 2647 36 21 female
635 1012 Image5 1 Image5 1835 8 21 female
636 1012 Image3 0 Image5 2505 28 21 female
637 1012 Image4 1 Image4 5661 44 21 female
638 1012 Image5 1 Image5 3857 22 21 female
639 1012 Image3 1 Image3 1851 24 21 female
640 1012 Image1 1 Image1 1468 4 21 female
641 1012 Image2 1 Image2 2073 17 21 female
642 1012 Image5 1 Image5 2512 6 21 female
643 1012 Image6 1 Image6 2615 43 21 female
644 1012 Image4 1 Image4 4949 27 21 female
645 1012 Image2 NA NaN NA 10 21 female
646 1012 Image6 0 Image4 2897 34 21 female
647 1012 Image1 1 Image1 1784 18 21 female
648 1012 Image2 1 Image2 4536 33 21 female
649 1012 Image3 1 Image3 3527 45 21 female
650 1012 Image5 1 Image5 2652 40 21 female
651 1012 Image1 1 Image1 1838 12 21 female
652 1012 Image3 1 Image3 1857 26 21 female
653 1012 Image4 1 Image4 1326 23 21 female
654 1012 Image4 1 Image4 1256 7 21 female
